Sample,Time,AMPH,APLOA,APLOE,ATYP,BODI,CAES,CALL,CANTH,CAPRO,CENTRO,CHEILS,CHIRO,CHRF,CHRH,CORISP,CORISS,DBREV,DTHET,GCYAN,GTRIC,GNUB,GPRAS,GPRION,HYPOB,KSYD,LABR,MYLIO,NDOUG,NMACROP,NCEL,NFUC,NINSCR,ODAX,PAGRUS,PCOLIAS,PARIKA,PARMA,PLAGT,PLUCU,PMILES,SCARD,SLIN,SVIOL,SERIOLA,SAYLING,UPEN,ZEUS
34,Mar.99,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,2,8,0,6,23,1,2,3,0,19,0,1,0,6,0
35,Mar.99,0,0,0,0,13,105,0,3,30,0,5,3,0,0,0,13,1,5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,4,0,10,16,1,27,2,1,0,30,0,2,0,0
36,Mar.99,0,2,1,0,2,11,0,0,0,0,0,0,0,0,0,17,1,4,1,2,0,0,0,0,4,1,0,4,0,5,1,1,10,8,0,6,20,0,5,2,0,5,41,2,3,3,0
37,Sep.99,0,0,0,2,13,0,0,1,0,0,2,0,0,0,0,49,0,0,18,1,0,0,0,1,0,0,0,6,0,2,2,0,0,5,0,5,17,0,6,5,0,0,13,0,1,4,0
38,Sep.99,0,0,0,0,8,4,0,3,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,2,0,4,4,0,0,0,0,6,3,0,13,0,1,0,0,0,3,5,0
39,Sep.99,0,0,0,0,7,0,0,0,0,0,5,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,2,23,0,3,1,0,8,6,0,0,0,0
40,Sep.99,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,32,0,0,1,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,8,12,0,2,0,0,0,91,0,4,1,0
41,Sep.99,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,4,7,0,0,4,1,0,0,0,1,0,0
42,Sep.99,0,2,0,0,8,3,0,0,0,0,2,0,0,0,1,16,0,0,0,0,0,0,0,4,0,0,1,3,0,0,11,1,6,1,0,5,25,0,7,2,2,0,22,0,3,2,1
43,Sep.99,0,0,0,0,8,1,0,3,100,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,7,0,0,7,4,0,0,1,0,8,3,0
44,Sep.99,0,3,0,0,17,0,0,2,0,0,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,7,9,0,6,10,0,0,0,0,14,1,0
45,Sep.99,0,0,0,0,14,3,0,0,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,2,0,0,5,0,0,3,0,7,6,0,9,7,1,0,0,0,48,2,1
46,Sep.99,0,0,0,0,6,5,0,6,2,0,0,0,0,0,2,13,1,0,0,0,5,0,0,2,0,0,0,5,0,0,0,0,0,1,1,4,4,1,12,7,5,0,1,0,6,15,0
47,Sep.99,0,0,0,5,14,0,0,0,0,0,2,1,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,16,0,5,21,0,2,2,0,1,0,0,2,10,0
48,Sep.99,0,0,0,0,5,1,0,0,0,0,5,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,2,0,5,26,0,5,1,0,0,0,0,0,3,0
49,Sep.99,0,1,0,0,7,0,0,1,0,0,4,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,2,31,0,7,2,1,3,8,0,6,0,0
50,Sep.99,4,0,0,0,3,2,0,0,96,33,1,0,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,3,0,0,1,0,2,5,0,8,12,0,2,6,0,0,57,0,0,0,0
51,Sep.99,0,1,1,0,3,22,1,0,15,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,4,4,12,5,4,0,0,63,18,1,0,0
52,Sep.99,1,0,0,0,26,21,0,1,5,0,4,0,2,0,0,22,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,0,2,1,0,12,3,0,6,5,2,0,6,1,5,1,0
53,Sep.99,0,0,0,0,4,7,0,2,147,2,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,2,1,7,0,2,0,0,0,2,7,0
54,Sep.99,0,0,0,2,2,0,0,0,1,0,1,0,1,0,0,39,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,1,1,0,9,18,0,3,0,0,0,1,0,2,10,0
55,Sep.99,0,0,0,1,7,4,0,0,105,0,3,0,0,0,0,13,0,0,0,0,0,0,0,9,15,0,0,5,0,0,5,1,0,4,0,20,11,1,5,1,1,0,16,0,3,1,0
56,Sep.99,0,0,0,0,12,2,0,2,0,0,1,0,0,0,1,17,0,0,0,0,0,0,0,10,2,0,0,9,0,4,1,0,2,0,1,5,13,0,17,0,0,0,1,10,4,2,0
